Category Display Name,Attribute Display Name,Category Name,Attribute Name,Data Type,Input/Output,Description
Instrument Reporting,Ending Annualized PD Lifetime Bucket,instrumentReporting,annualizedPDLifetimeBucketEnding,String,Output,The bucket into which the lifetime annualized PD falls for the current period.
Instrument Reporting IFRS,Allowance Change with No Stage Migration,instrumentReportingIFRS,allowanceChangeWithNoStageMigration,Amount,Output,The IFRS allowance amount change (based on starting allowance) without a change to the stage (Impairment Type IFRS). This amount is expressed in reporting currency.
Instrument Reporting IFRS,Beginning Remaining Maturity,instrumentReportingIFRS,remainingMaturityBeginning,String,Output,"The remaining term to maturity from the prior period. Formatted as string . Examples are Due in <= 1 Year, Due in 1-5 years, Due in 5-10 Years, and Due After 10 Years."
Instrument Reporting,Beginning Annualized PD One Year Bucket,instrumentReporting,annualizedPDOneYearBucketBeginning,String,Output,The bucket into which the one year annualized PD falls from the prior period.
Instrument Reporting IFRS,Ending Remaining Maturity,instrumentReportingIFRS,remainingMaturityEnding,String,Output,"The remaining term to maturity for the current period. Formatted as string . Examples are Due in <= 1 Year, Due in 1-5 years, Due in 5-10 Years, and Due After 10 Years."
Instrument Reporting,Ending Annualized PD One Year Bucket,instrumentReporting,annualizedPDOneYearBucketEnding,String,Output,The bucket into which the one year annualized PD falls for the current period.
Instrument Reporting IFRS,Beginning Annualized PD Lifetime Bucket,instrumentReportingIFRS,annualizedPDLifetimeBucketBeginning,String,Output,The bucket into which the lifetime annualized PD falls from the prior period.
Instrument Reporting,Beginning LGD Lifetime Bucket,instrumentReporting,lgdLifetimeBucketBeginning,String,Output,The bucket into which the lifetime LGD falls from the prior period.
Instrument Reporting IFRS,Ending Annualized PD Lifetime Bucket,instrumentReportingIFRS,annualizedPDLifetimeBucketEnding,String,Output,The bucket into which the lifetime annualized PD falls for the current period.
Instrument Reporting,Ending LGD Lifetime Bucket,instrumentReporting,lgdLifetimeBucketEnding,String,Output,The bucket into which the lifetime LGD falls for the current period.
Instrument Reporting IFRS,Beginning Annualized PD One Year Bucket,instrumentReportingIFRS,annualizedPDOneYearBucketBeginning,String,Output,The bucket into which the one year annualized PD falls from the prior period.
Instrument Reporting,Beginning LGD One Year Bucket,instrumentReporting,lgdOneYearBucketBeginning,String,Output,The bucket into which the one year LGD falls from the prior period.
Instrument Reporting IFRS,Ending Annualized PD One Year Bucket,instrumentReportingIFRS,annualizedPDOneYearBucketEnding,String,Output,The bucket into which the one year annualized PD falls for the current period.
Instrument Reporting,Ending LGD One Year Bucket,instrumentReporting,lgdOneYearBucketEnding,String,Output,The bucket into which the one year LGD falls for the current period.
Instrument Reporting IFRS,Beginning LGD Lifetime Bucket,instrumentReportingIFRS,lgdLifetimeBucketBeginning,String,Output,The bucket into which the lifetime LGD falls from the prior period.
Instrument Reporting,Beginning Loss Rate Annualized Lifetime Bucket,instrumentReporting,lossRateAnnualizedLifetimeBucketBeginning,String,Output,The bucket into which the lifetime annualized loss rate falls from the prior period.
Instrument Reporting IFRS,Ending LGD Lifetime Bucket,instrumentReportingIFRS,lgdLifetimeBucketEnding,String,Output,The bucket into which the lifetime LGD falls for the current period.
Instrument Reporting,Ending Loss Rate Annualized Lifetime Bucket,instrumentReporting,lossRateAnnualizedLifetimeBucketEnding,String,Output,The bucket into which the lifetime annualized loss rate falls for the current period.
Instrument Reporting IFRS,Beginning LGD One Year Bucket,instrumentReportingIFRS,lgdOneYearBucketBeginning,String,Output,The bucket into which the one year LGD falls from the prior period.
Instrument Reporting,Beginning Loss Rate Cumulative Lifetime Bucket,instrumentReporting,lossRateCumulativeLifetimeBucketBeginning,String,Output,The bucket into which the lifetime cumulative loss rate falls from the prior period.
Instrument Reporting IFRS,Ending LGD One Year Bucket,instrumentReportingIFRS,lgdOneYearBucketEnding,String,Output,The bucket into which the one year LGD falls for the current period.
Instrument Reporting,Ending Loss Rate Cumulative Lifetime Bucket,instrumentReporting,lossRateCumulativeLifetimeBucketEnding,String,Output,The bucket into which the lifetime cumulative loss rate falls for the current period.
Instrument Reporting IFRS,Beginning Loss Rate Annualized Lifetime Bucket,instrumentReportingIFRS,lossRateAnnualizedLifetimeBucketBeginning,String,Output,The bucket into which the lifetime annualized loss rate falls from the prior period.
Instrument Reporting,Attribution Macroeconomic Variable 1,instrumentReporting,attributionMacroeconomicVariable1,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Ending Loss Rate Annualized Lifetime Bucket,instrumentReportingIFRS,lossRateAnnualizedLifetimeBucketEnding,String,Output,The bucket into which the lifetime annualized loss rate falls for the current period.
Instrument Reporting,Attribution Macroeconomic Variable 2,instrumentReporting,attributionMacroeconomicVariable2,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Beginning Loss Rate Cumulative Lifetime Bucket,instrumentReportingIFRS,lossRateCumulativeLifetimeBucketBeginning,String,Output,The bucket into which the lifetime cumulative loss rate falls from the prior period.
Instrument Reporting,Attribution Macroeconomic Variable 3,instrumentReporting,attributionMacroeconomicVariable3,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Ending Loss Rate Cumulative Lifetime Bucket,instrumentReportingIFRS,lossRateCumulativeLifetimeBucketEnding,String,Output,The bucket into which the lifetime cumulative loss rate falls for the current period.
Instrument Reporting,Attribution Macroeconomic Variable 4,instrumentReporting,attributionMacroeconomicVariable4,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Beginning Stage Rating,instrumentReportingIFRS,stageRatingBeginning,String,Output,The issuer's rating to use for stage allocation for IFRS9 from the prior analysis.
Instrument Reporting,Attribution Macroeconomic Variable 5,instrumentReporting,attributionMacroeconomicVariable5,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Ending Stage Rating,instrumentReportingIFRS,stageRatingEnding,String,Output,The issuer's rating to use for stage allocation for IFRS9 for the current analysis.
Instrument Reporting,Allowance Change Due To Macroeconomic Variable 1,instrumentReporting,allowanceChangeDueToMacroeconomicVariable1,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 1.
Instrument Reporting IFRS,Impairment Type IFRS Adjusted Prior,instrumentReportingIFRS,impairmentTypeIFRSAdjustedPrior,String,Output,"The adjusted impairment type from the prior analysis. Valid values are: Stage 1, Stage 2, and Stage 3."
Instrument Reporting,Allowance Change Due To Macroeconomic Variable 2,instrumentReporting,allowanceChangeDueToMacroeconomicVariable2,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 2.
Instrument Reporting IFRS,Impairment Type IFRS Adjusted Current,instrumentReportingIFRS,impairmentTypeIFRSAdjustedCurrent,String,Output,"The adjusted impairment type from the current analysis. Valid values are: Stage 1, Stage 2, and Stage 3."
Instrument Reporting,Allowance Change Due To Macroeconomic Variable 3,instrumentReporting,allowanceChangeDueToMacroeconomicVariable3,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 3.
Instrument Reporting,Allowance Change Due To Macroeconomic Variable 4,instrumentReporting,allowanceChangeDueToMacroeconomicVariable4,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 4.
Instrument Reporting,Allowance Change Due To Macroeconomic Variable 5,instrumentReporting,allowanceChangeDueToMacroeconomicVariable5,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 5.
Instrument Reporting,Allowance Change Due To Remaining Macroeconomic Variable,instrumentReporting,allowanceChangeDueToMacroeconomicVariableRemaining,Amount,Output,"The allowance amount change due to the impact of the remiaining, unselected macroeconomic variables."
Instrument Reporting,Allowance Change Due To Macroeconomic Variable - Total Unscaled,instrumentReporting,allowanceChangeDueToMacroeconomicVariableTotalUnscaled,Amount,Output,"The sum of allowance amount change due to the impact of each individual macroeconomic variables (MEV) before scaling. Use this value to back out the original allowance credit loss. <br> This is the the raw calculation output of the MEV’s impact to the allowance. The MEVs in the model interact with each other and the relationship is not necessarily linear, the sum of the contribution of each unscaled MEV does not always add up to the total scenario impact. The system then applies a weighted method to determine the final contribution to allowance (which is the final output)."
Instrument Reporting,Completed MEV Attribution,instrumentReporting,completedMEVAttribution,Boolean,Output,Indicates if the macroeconomic variable (MEV) attribution completed for this instrument. TRUE indicates that the MEV attribution completed for this instrument.
Instrument Reporting,Completed PD Attribution,instrumentReporting,completedPDAttribution,Boolean,Output,Indicates if the probability of default (PD) attribution completed for this instrument. TRUE indicates that the PD attribution completed for this instrument.
Instrument Reporting,Completed LGD Attribution,instrumentReporting,completedLGDAttribution,Boolean,Output,Indicates if the loss given default (LGD) attribution completed for this instrument. TRUE indicates that the LGD attribution completed for this instrument.
Instrument Reporting,Exchange Rate Impact,instrumentReporting,allowanceChangeDueToExchangeRateImpact,Amount,Output,"The allowance amount associated to exchange rate conversion during the period. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting,Scenario Impact On Balance Sheet,instrumentReporting,allowanceChangeDueToScenarioImpactOnBalanceSheetEAD,Amount,Output,"The on balance sheet reserve amount associated to changes in macroeconomic scenarios used during the period. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting,Scenario Impact Off Balance Sheet,instrumentReporting,allowanceChangeDueToScenarioImpactOffBalanceSheetEAD,Amount,Output,"The off balance sheet reserve amount associated to changes in macroeconomic scenarios used during the period. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting,Loss Rate Impact On Balance Sheet,instrumentReporting,allowanceChangeDueToLossRateImpactOnBalanceSheetEAD,Amount,Output,"The on balance sheet reserve amount due to loss rate changes, but not captured by scenario, passage of time, or probability of default (PD) effects. Could be due to loss given default (LGD), exposure at default (EAD), the shape of term structures, etc. This amount is expressed in reporting currency."
Instrument Reporting,Loss Rate Impact Off Balance Sheet,instrumentReporting,allowanceChangeDueToLossRateImpactOffBalanceSheetEAD,Amount,Output,"The off balance sheet reserve amount due to loss rate changes, but not captured by scenario, passage of time, or probability of default (PD) effects. Could be due to loss given default (LGD), exposure at default (EAD), the shape of term structures, etc. This amount is expressed in reporting currency."
Instrument Reporting,Balance Impact On Balance Sheet,instrumentReporting,allowanceChangeDueToBalanceImpactOnBalanceSheetEAD,Amount,Output,"The on balance sheet reserve amount due to the change in the implied balance amount driver of allowance, if keeping a constant allowance rate. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting,Balance Impact Off Balance Sheet,instrumentReporting,allowanceChangeDueToBalanceImpactOffBalanceSheetEAD,Amount,Output,"The off balance sheet reserve amount due to the change in the implied balance amount driver of allowance, if keeping a constant allowance rate. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting,Prior Period Exchange Rate to Reporting Currency,instrumentReporting,priorPeriodExchangeRateToReportingCurrency,Decimal,Output,The prior period exchange rate to translate instrument currency into reporting currency. Expressed in decimal format.
Instrument Reporting,Model Residual,instrumentReporting,allowanceChangeDueToModelResidual,Amount,Output,The remaining model residual impact in attribution analysis.
Instrument Reporting,Allowance Change Due To Risk Driver 1,instrumentReporting,allowanceChangeDueToRiskDriver1,Amount,Output,The allowance amount change due to the impact of the risk driver 1.
Instrument Reporting,Attribution Risk Driver 1,instrumentReporting,attribtuionRiskDriver1,String,Output,The name of risk driver 1 used in attribution analysis.
Instrument Reporting,Allowance Change Due To Risk Driver 2,instrumentReporting,allowanceChangeDueToRiskDriver2,Amount,Output,The allowance amount change due to the impact of the risk driver 2.
Instrument Reporting,Attribution Risk Driver 2,instrumentReporting,attribtuionRiskDriver2,String,Output,The name of risk driver 2 used in attribution analysis.
Instrument Reporting IFRS,Allowance Change from Stage 1 to Stage 2,instrumentReportingIFRS,allowanceChangeDueToStage1ToStage2Migration,Amount,Output,The IFRS allowance amount change from migrating from Stage 1 to Stage 2. This amount is expressed in reporting currency.
Instrument Reporting IFRS,Allowance Change from Stage 2 to Stage 1,instrumentReportingIFRS,allowanceChangeDueToStage2ToStage1Migration,Amount,Output,The IFRS allowance amount change from migrating from Stage 2 to Stage 1. This amount is expressed in reporting currency.
Instrument Reporting IFRS,Allowance Change from Stage 2 to Stage 3,instrumentReportingIFRS,allowanceChangeDueToStage2ToStage3Migration,Amount,Output,The IFRS allowance amount change from migrating from Stage 2 to Stage 3. This amount is expressed in reporting currency.
Instrument Reporting IFRS,Allowance Change from Stage 3 to Stage 2,instrumentReportingIFRS,allowanceChangeDueToStage3ToStage2Migration,Amount,Output,The IFRS allowance amount change from migrating from Stage 3 to Stage 2. This amount is expressed in reporting currency.
Instrument Reporting IFRS,Allowance Change from Stage 1 to Stage 3,instrumentReportingIFRS,allowanceChangeDueToStage1ToStage3Migration,Amount,Output,The IFRS allowance amount change from migrating from Stage 1 to Stage 3. This amount is expressed in reporting currency.
Instrument Reporting IFRS,Allowance Change from Stage 3 to Stage 1,instrumentReportingIFRS,allowanceChangeDueToStage3ToStage1Migration,Amount,Output,The IFRS allowance amount change from migrating from Stage 3 to Stage 1. This amount is expressed in reporting currency.
Instrument Reporting IFRS,Total IFRS Allowance Change,instrumentReportingIFRS,allowanceChangeTotalIFRS,Amount,Output,The total IFRS allowance amount change between the prior and current analyses.
Instrument Reporting IFRS,Cumulative PD Lifetime,instrumentReportingIFRS,cumulativePDLifetime,Decimal,Output,"The cumulative probability of default for the life of the instrument. Expressed in decimal format. For example, 10% is 0.1."
Instrument Reporting IFRS,Annualized PD Lifetime,instrumentReportingIFRS,annualizedPDLifetime,Decimal,Output,"The annualized probability of default for the life of the instrument. Expressed in decimal format. For example, 10% is 0.1."
Instrument Reporting IFRS,Maturity Risk PD,instrumentReportingIFRS,maturityRiskPD,Decimal,Output,"The probability of default (PD) pertaining to the refinance risk for the instrument. Maturity measures are given for instruments maturing in the next 10 years. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
Instrument Reporting IFRS,PD One Year,instrumentReportingIFRS,pdOneYear,Decimal,Output,"The unconditional point in time probability of default (PD) 1 year from reporting date. The credit cycle adjusted PD. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1.<br>Marked as conditional as value is required when an unconditional PD is required but the PD model selected produces conditional PDs.<br>When the PD source is Instrument PD, this is the corresponding PD value. If provided along with the LGD one year, these are used to calculate the incurred loss rate for the loss estimation method is PD/LGD. Otherwise, the incurred loss rate is calculated from the TTC Annualized PD One Year and TTC Annualized LGD One Year.<br> For Capital Risk Analyzer, provide either this or Moody's Long Term Rating for PD for the EBA analysis."
Instrument Reporting IFRS,LGD Lifetime,instrumentReportingIFRS,lgdLifetime,Decimal,Output,"The loss given default value at the maturity of the instrument. Expressed in decimal format. For example, 10% is 0.1."
Instrument Reporting IFRS,LGD One Year,instrumentReportingIFRS,lgdOneYear,Decimal,Output,"The loss given default value 1 year from the reporting date. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1. When the LGD source is Instrument LGD, LGD One Year in Instrument Reference is the LGD value. If provided along with the PD one year, these are used to calculate the incurred loss rate for the loss estimation method is PD/LGD. Otherwise, the incurred loss rate is calculated from the TTC Annualized PD One Year and TTC Annualized LGD One Year. The other use of this value is for when an unconditional LGD is required but the LGD model selected produces conditional LGDs. For the result, this value is the LGD used to calculate the one year expected credit loss amount."
Instrument Reporting IFRS,Total EAD Amount Lifetime,instrumentReportingIFRS,totalEADAmountLifetime,Amount,Output,"The total lifetime exposure at default (EAD) amount for the instrument. For instruments with no off-balance sheet component, which includes bonds, loans, etc., the total ead amount is equal to the amortized cost override when provided."
Instrument Reporting IFRS,Total EAD Amount One Year,instrumentReportingIFRS,totalEADAmountOneYear,Amount,Output,"The total exposure at default (EAD) amount 1 year from reporting date for the instrument. For instruments with no off-balance sheet component, which includes bonds, loans, etc., the total ead amount is equal to the amortized cost override when provided."
Instrument Reporting IFRS,On Balance Sheet EAD Amount Lifetime,instrumentReportingIFRS,onBalanceSheetEADAmountLifetime,Amount,Output,The lifetime exposure at default (EAD) amount for the on balance sheet portion of the instrument.
Instrument Reporting IFRS,On Balance Sheet EAD Amount One Year,instrumentReportingIFRS,onBalanceSheetEADAmountOneYear,Amount,Output,The exposure at default (EAD) amount for the on balance sheet portion of the instrument 1 year from reporting date.
Instrument Reporting IFRS,Off Balance Sheet EAD Amount Lifetime,instrumentReportingIFRS,offBalanceSheetEADAmountLifetime,Amount,Output,The lifetime exposure at default (EAD) amount for the off balance sheet portion of the  instrument.
Instrument Reporting IFRS,Off Balance Sheet EAD Amount One Year,instrumentReportingIFRS,offBalanceSheetEADAmountOneYear,Amount,Output,The exposure at default (EAD) amount for the off balance sheet portion of the instrument 1 year from reporting date.
Instrument Reporting IFRS,Default Amount Life Time,instrumentReportingIFRS,defaultAmountLifetime,Amount,Output,The amount accounted for default at the maturity of the instrument.
Instrument Reporting IFRS,Default Amount One Year,instrumentReportingIFRS,defaultAmountOneYear,Amount,Output,The amount accounted for default 1 year from reporting date.
Instrument Reporting IFRS,IFRS Cumulative PD,instrumentReportingIFRS,ifrsCumulativePD,Decimal,Output,"The scenario conditioned PD used for the IFRS allowance calculation. For instruments at Stage 1, the PD is the annualized one year PD. Otherwise, the PD is the same as the cumulative lifetime PD. Expressed in decimal format. For example, 10% is 0.1."
Instrument Reporting IFRS,IFRS LGD,instrumentReportingIFRS,ifrsLGD,Decimal,Output,"The scenario conditioned LGD that is used for IFRS allowance calculation. For instruments at Stage 1, it is equal to LGD one year (in instrumentResult). Otherise is equal to the lifetime LGD. Expressed in decimal format. For example, 10% is 0.1."
Instrument Reporting IFRS,Asset Class,instrumentReportingIFRS,assetClass,String,Output,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
Instrument Reporting IFRS,Asset Sub Class 1,instrumentReportingIFRS,assetSubClass1,String,Output,Custom attribute for asset class. <br>Contains the Type (index 54) value from the the Interagency Loan Data (ILD) file.
Instrument Reporting IFRS,Asset Sub Class 2,instrumentReportingIFRS,assetSubClass2,String,Output,Custom attribute for asset class. <br>Contains the Collateral Code (index 32) value from the the Interagency Loan Data (ILD) file.
Instrument Reporting IFRS,Custom Dimension 1,instrumentReportingIFRS,customDimension1,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 2,instrumentReportingIFRS,customDimension2,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 3,instrumentReportingIFRS,customDimension3,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 4,instrumentReportingIFRS,customDimension4,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 5,instrumentReportingIFRS,customDimension5,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 6,instrumentReportingIFRS,customDimension6,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 7,instrumentReportingIFRS,customDimension7,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 8,instrumentReportingIFRS,customDimension8,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 9,instrumentReportingIFRS,customDimension9,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Dimension 10,instrumentReportingIFRS,customDimension10,String,Output,Custom dimension.
Instrument Reporting IFRS,Custom Numeric 1,instrumentReportingIFRS,customNumeric1,Decimal,Output,Custom number.
Instrument Reporting IFRS,Custom Numeric 2,instrumentReportingIFRS,customNumeric2,Decimal,Output,Custom number.
Instrument Reporting IFRS,Expected Credit Loss Amount Lifetime,instrumentReportingIFRS,expectedCreditLossAmountLifetime,Amount,Output,"The expected credit loss amount for the life of the instrument from the quantitative calculation. <br>For results, expressed in reporting currency.<br>For non-results, expressed in instrument currency."
Instrument Reporting IFRS,Expected Credit Loss Amount One Year,instrumentReportingIFRS,expectedCreditLossAmountOneYear,Amount,Output,"The expected credit loss amount 1 year from the reporting date. <br>For results, expressed in reporting currency.<br>For non-results, expressed in instrument currency."
Instrument Reporting IFRS,Off Balance Sheet Expected Credit Loss Amount Lifetime,instrumentReportingIFRS,offBalanceSheetExpectedCreditLossAmountLifetime,Amount,Output,The expected credit loss amount for the off balance sheet item for the life of the instrument from the quantitative calculation. Expressed in reporting currency.
Instrument Reporting IFRS,Off Balance Sheet Expected Credit Loss Amount One Year,instrumentReportingIFRS,offBalanceSheetExpectedCreditLossAmountOneYear,Amount,Output,The expected credit loss amount for the off balance sheet item 1 year from the reporting date.<br>ImpairmentStudio does not produce a value for this field found in instrument result.
Instrument Reporting IFRS,Allowance Change Not Related to Staging,instrumentReportingIFRS,allowanceChangeUnrelatedToStage,Amount,Output,The IFRS allowance amount change not related to staging expressed in reporting currency.
Instrument Reporting IFRS,Allowance Change Due to Other Residual Impacts Within No Stage Migration,instrumentReportingIFRS,allowanceChangeDueToOtherImpactNoStageMigration,Amount,Output,The allowance amount due to other residual impacts within no stage migration expressed in reporting currency.
Instrument Reporting IFRS,Reporting Currency,instrumentReportingIFRS,reportingCurrency,String,Output,The currency that all amounts are reported in.
Instrument Reporting IFRS,Exchange Rate to Reporting Currency,instrumentReportingIFRS,exchangeRateToReportingCurrency,Decimal,Output,The exchange rate to translate instrument currency into reporting currency. Expressed in decimal format.
Instrument Reporting,Allowance Beginning Balance On Balance Sheet,instrumentReporting,allowanceBeginBalanceOnBalanceSheet,Amount,Input-Conditional,The on balance sheet allowance reported for the reporting date stated in the Prior Period Reporting Date.
Instrument Result,Unrealized Losses,instrumentResult,unrealizedLosses,Amount,Input-Conditional,"The difference between the security's fair value and amortized cost, when the fair value is less than amortized cost.<br>ImpairmentStudio does not produce a value for this field found in instrument result."
Instrument Reporting IFRS,Attribution Macroeconomic Variable 1,instrumentReportingIFRS,attributionMacroeconomicVariable1,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Attribution Macroeconomic Variable 2,instrumentReportingIFRS,attributionMacroeconomicVariable2,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Attribution Macroeconomic Variable 3,instrumentReportingIFRS,attributionMacroeconomicVariable3,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Attribution Macroeconomic Variable 4,instrumentReportingIFRS,attributionMacroeconomicVariable4,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Attribution Macroeconomic Variable 5,instrumentReportingIFRS,attributionMacroeconomicVariable5,String,Output,The selected Macroeconomic Variables for Macroeconomic Variable impact in attribution analysis.
Instrument Reporting IFRS,Allowance Change Due To Macroeconomic Variable 1,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariable1,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 1.
Instrument Reporting IFRS,Allowance Change Due To Macroeconomic Variable 2,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariable2,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 2.
Instrument Reporting IFRS,Allowance Change Due To Macroeconomic Variable 3,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariable3,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 3.
Instrument Reporting IFRS,Allowance Change Due To Macroeconomic Variable 4,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariable4,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 4.
Instrument Reporting IFRS,Allowance Change Due To Macroeconomic Variable 5,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariable5,Amount,Output,The allowance amount change due to the impact of macroeconomic variable 5.
Instrument Reporting IFRS,Allowance Change Due To Remaining Macroeconomic Variable,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariableRemaining,Amount,Output,"The allowance amount change due to the impact of the remiaining, unselected macroeconomic variables."
Instrument Reporting IFRS,Allowance Change Due To Macroeconomic Variable - Total Unscaled,instrumentReportingIFRS,allowanceChangeDueToMacroeconomicVariableTotalUnscaled,Amount,Output,"The sum of allowance amount change due to the impact of each individual macroeconomic variables (MEV) before scaling. Use this value to back out the original allowance credit loss. <br> This is the the raw calculation output of the MEV’s impact to the allowance. The MEVs in the model interact with each other and the relationship is not necessarily linear, the sum of the contribution of each unscaled MEV does not always add up to the total scenario impact. The system then applies a weighted method to determine the final contribution to allowance (which is the final output)."
Instrument Reporting IFRS,Completed MEV Attribution,instrumentReportingIFRS,completedMEVAttribution,Boolean,Output,Indicates if the macroeconomic variable (MEV) attribution completed for this instrument. TRUE indicates that the MEV attribution completed for this instrument.
Instrument Reporting IFRS,Completed PD Attribution,instrumentReportingIFRS,completedPDAttribution,Boolean,Output,Indicates if the probability of default (PD) attribution completed for this instrument. TRUE indicates that the PD attribution completed for this instrument.
Instrument Reporting IFRS,Completed LGD Attribution,instrumentReportingIFRS,completedLGDAttribution,Boolean,Output,Indicates if the loss given default (LGD) attribution completed for this instrument. TRUE indicates that the LGD attribution completed for this instrument.
Instrument Reporting IFRS,Exchange Rate Impact,instrumentReportingIFRS,allowanceChangeDueToExchangeRateImpactIFRS,Amount,Output,"The allowance amount associated to exchange rate conversion during the period. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting IFRS,Scenario Impact On Balance Sheet,instrumentReportingIFRS,allowanceChangeDueToScenarioImpactOnBalanceSheetEADIFRS,Amount,Output,"The on balance sheet reserve amount associated to changes in macroeconomic scenarios used during the period. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting IFRS,Scenario Impact Off Balance Sheet,instrumentReportingIFRS,allowanceChangeDueToScenarioImpactOffBalanceSheetEADIFRS,Amount,Output,"The off balance sheet reserve amount associated to changes in macroeconomic scenarios used during the period. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting IFRS,Loss Rate Impact On Balance Sheet,instrumentReportingIFRS,allowanceChangeDueToLossRateImpactOnBalanceSheetEADIFRS,Amount,Output,"The on balance sheet reserve amount due to loss rate changes, but not captured by scenario, passage of time, or probability of default (PD) effects. Could be due to loss given default (LGD), exposure at default (EAD), the shape of term structures, etc. This amount is expressed in reporting currency."
Instrument Reporting IFRS,Loss Rate Impact Off Balance Sheet,instrumentReportingIFRS,allowanceChangeDueToLossRateImpactOffBalanceSheetEADIFRS,Amount,Output,"The off balance sheet reserve amount due to loss rate changes, but not captured by scenario, passage of time, or probability of default (PD) effects. Could be due to loss given default (LGD), exposure at default (EAD), the shape of term structures, etc. This amount is expressed in reporting currency."
Instrument Reporting IFRS,Balance Impact On Balance Sheet,instrumentReportingIFRS,allowanceChangeDueToBalanceImpactOnBalanceSheetEADIFRS,Amount,Output,"The on balance sheet reserve amount due to the change in the implied balance amount driver of allowance, if keeping a constant allowance rate. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting IFRS,Balance Impact Off Balance Sheet,instrumentReportingIFRS,allowanceChangeDueToBalanceImpactOffBalanceSheetEADIFRS,Amount,Output,"The off balance sheet reserve amount due to the change in the implied balance amount driver of allowance, if keeping a constant allowance rate. This amount is expressed in reporting currency. If the value is imported, it is the value used. If the value is not imported, it will be determined by ImpairmentStudio."
Instrument Reporting IFRS,Unwinding of Discount,instrumentReportingIFRS,unwindingOfDiscount,Amount,Output,The allowance under the IFRS 9 regulation is a discounted amount to reflect the time value of money and presented at the present value. Therefore changes in the allowance over time include the unwinding of the discount.
