Category Display Name,Attribute Display Name,Category Name,Attribute Name,Data Type,Input/Output,Description
New Business Template,ISIN,newBusinessTemplate,isin,String,,"The International Securities Identification Number (ISIN) is a code that uniquely identifies a specific securities issue. When marked as conditional, this is a required input to lookup up model inputs such as the long term rating, PD, R-squared parameters, etc."
New Business Template,Security Balance Original,newBusinessTemplate,securityBalanceOriginal,Amount,,The original balance of the security expressed in instrument currency.
Instrument Result,Adjusted,instrumentResult,adjusted,Boolean,Output,Indicates if the result is adjusted. TRUE indicates the result is adjusted. FALSE indicates the unadjusted result.
New Business Template,Security Balance Current,newBusinessTemplate,securityBalanceCurrent,Amount,,The current balance of the security at reporting date expressed in instrument currency.
New Business Template,Shares,newBusinessTemplate,shares,Decimal,,"A share is an indivisible unit of capital, expressing the ownership relationship between the company and the shareholder. When marked as conditional, this is a required input for the disclosure reports."
New Business Template,Asset Class,newBusinessTemplate,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
New Business Template,Asset Sub Class 1,newBusinessTemplate,assetSubClass1,String,,Custom attribute for asset class. <br>Contains the Type (index 54) value from the the Interagency Loan Data (ILD) file.
New Business Template,Asset Sub Class 2,newBusinessTemplate,assetSubClass2,String,,Custom attribute for asset class. <br>Contains the Collateral Code (index 32) value from the the Interagency Loan Data (ILD) file.
Instrument Result,Adjustment Category,instrumentResult,adjustmentCategory,String,Output,"The categorization of the adjustment. Values are: Economic/Business Conditions, Historical Loss Experience, Lending Procedures, Nature and Volume of Portfolio, and Other."
New Business Template,Default Type,newBusinessTemplate,defaultType,String,,"Indicates the type of default. Valid values are 180DaysPastDue, 270DaysPastDue, 90DaysPastDue, 90DaysTimesPastDue, AdministratorAppointed, Bailout, Bankruptcy, BankruptcyChapter10, BankruptcyChapter11, BankruptcyChapter7, BankruptcyChapter9, BankruptcyLiquidation, ChargedOff, CollateralPropertyAttached, CompositionProceeding, DaysPastDue, DaysPastDuePassRating, Dissolution, Doubtful, Extinction, FacilitiesCalled, Insolvency, Liquidation, LoanLossProvision, Loss, Moratorium, NonaccrualLoan, OLEM, Receivership, Reorganization, RestructuredDebt, SoftDefault, SpecificLloanLossReserveCreated, Substandard, Substandard30DPD, Substandard60DPD, Unknown, UnlikelyToPay, VoluntaryArrangement, VoluntaryLiquidation, and WindingUp.<br>Marked as conditional as this is a required input for RiskCalc LGD to determine if the borrower is in bankruptcy."
