tenantIdentifier,macroeconomicVariableName,macroeconomicVariableDescription,macroeconomicVariableType,macroeconomicVariableUnits,macroeconomicVariableCurrency,macroeconomicVariableFactor,scenarioStudioMnemonics,databuffetMnemonic
moodys,"USA SanAngelo, TX Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MSNA
moodys,"USA Spokane-SpokaneValley, WA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MSPK
moodys,"USA Shreveport-BossierCity, LA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MSRV
moodys,"USA SiouxCity, IA-NE-SD Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MSXC
moodys,"USA TerreHaute, IN Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MTRH
moodys,"USA VirginiaBeach-Norfolk-NewportNews, VA-NC Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MVGB
moodys,"USA WallaWalla, WA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MWLL
moodys,"USA WarnerRobins, GA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MWRN
moodys,"USA Wausau-Weston, WI Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MWUS
moodys,"USA Yauco, PR Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MYAU
moodys,"USA Blacksburg-Christiansburg, VA Real GDP",,,Level,,,FGDP$_IUSA_MBLK,FGDP$.IUSA_MBLK
moodys,"USA Beaumont-PortArthur, TX Real GDP",,,Level,,,FGDP$_IUSA_MBMN,FGDP$.IUSA_MBMN
moodys,"USA BatonRouge, LA Real GDP",,,Level,,,FGDP$_IUSA_MBTR,FGDP$.IUSA_MBTR
moodys,"USA CorpusChristi, TX Real GDP",,,Level,,,FGDP$_IUSA_MCRP,FGDP$.IUSA_MCRP
moodys,"USA Dallas-FortWorth-Arlington, TX Real GDP",,,Level,,,FGDP$_IUSA_MDLL,FGDP$.IUSA_MDLL
moodys,"USA Durham-ChapelHill, NC Real GDP",,,Level,,,FGDP$_IUSA_MDRH,FGDP$.IUSA_MDRH
moodys,"USA DesMoines-WestDesMoines, IA Real GDP",,,Level,,,FGDP$_IUSA_MDSM,FGDP$.IUSA_MDSM
moodys,"USA Dayton-Kettering, OH Real GDP",,,Level,,,FGDP$_IUSA_MDTK,FGDP$.IUSA_MDTK
moodys,"USA FortSmith, AR-OK Real GDP",,,Level,,,FGDP$_IUSA_MFSM,FGDP$.IUSA_MFSM
moodys,"USA FortWayne, IN Real GDP",,,Level,,,FGDP$_IUSA_MFWY,FGDP$.IUSA_MFWY
moodys,"USA Fayetteville-Springdale-Rogers, AR Real GDP",,,Level,,,FGDP$_IUSA_MFYT,FGDP$.IUSA_MFYT
moodys,"USA Gulfport-Biloxi, MS Real GDP",,,Level,,,FGDP$_IUSA_MGPT,FGDP$.IUSA_MGPT
moodys,"USA GrandIsland, NE Real GDP",,,Level,,,FGDP$_IUSA_MGRI,FGDP$.IUSA_MGRI
moodys,"USA GrandRapids-Kentwood, MI Real GDP",,,Level,,,FGDP$_IUSA_MGRR,FGDP$.IUSA_MGRR
moodys,"USA Lafayette-WestLafayette, IN Real GDP",,,Level,,,FGDP$_IUSA_MLFY,FGDP$.IUSA_MLFY
moodys,"USA Lansing-EastLansing, MI Real GDP",,,Level,,,FGDP$_IUSA_MLNS,FGDP$.IUSA_MLNS
moodys,"USA Louisville/JeffersonCounty, KY-IN Real GDP",,,Level,,,FGDP$_IUSA_MLSV,FGDP$.IUSA_MLSV
moodys,"USA Minneapolis-St.Paul-Bloomington, MN-WI Real GDP",,,Level,,,FGDP$_IUSA_MMNN,FGDP$.IUSA_MMNN
moodys,"USA NewYork-Newark-JerseyCity, NY-NJ-PA Real GDP",,,Level,,,FGDP$_IUSA_MNWY,FGDP$.IUSA_MNWY
moodys,"USA PanamaCity, FL Real GDP",,,Level,,,FGDP$_IUSA_MPNM,FGDP$.IUSA_MPNM
moodys,"USA Poughkeepsie-Newburgh-Middletown, NY Real GDP",,,Level,,,FGDP$_IUSA_MPOU,FGDP$.IUSA_MPOU
moodys,"USA PrescottValley-Prescott, AZ Real GDP",,,Level,,,FGDP$_IUSA_MPVP,FGDP$.IUSA_MPVP
moodys,"USA RapidCity, SD Real GDP",,,Level,,,FGDP$_IUSA_MRPD,FGDP$.IUSA_MRPD
moodys,"USA SanAngelo, TX Real GDP",,,Level,,,FGDP$_IUSA_MSNA,FGDP$.IUSA_MSNA
moodys,"USA Spokane-SpokaneValley, WA Real GDP",,,Level,,,FGDP$_IUSA_MSPK,FGDP$.IUSA_MSPK
moodys,"USA Shreveport-BossierCity, LA Real GDP",,,Level,,,FGDP$_IUSA_MSRV,FGDP$.IUSA_MSRV
moodys,"USA SiouxCity, IA-NE-SD Real GDP",,,Level,,,FGDP$_IUSA_MSXC,FGDP$.IUSA_MSXC
moodys,"USA TerreHaute, IN Real GDP",,,Level,,,FGDP$_IUSA_MTRH,FGDP$.IUSA_MTRH
moodys,"USA VirginiaBeach-Norfolk-NewportNews, VA-NC Real GDP",,,Level,,,FGDP$_IUSA_MVGB,FGDP$.IUSA_MVGB
moodys,"USA WallaWalla, WA Real GDP",,,Level,,,FGDP$_IUSA_MWLL,FGDP$.IUSA_MWLL
moodys,"USA WarnerRobins, GA Real GDP",,,Level,,,FGDP$_IUSA_MWRN,FGDP$.IUSA_MWRN
moodys,"USA Wausau-Weston, WI Real GDP",,,Level,,,FGDP$_IUSA_MWUS,FGDP$.IUSA_MWUS
moodys,"USA Yauco, PR Real GDP",,,Level,,,FGDP$_IUSA_MYAU,FGDP$.IUSA_MYAU
moodys,USA Unemployment Rate (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Percentage,,,,
moodys,USA Equity Dow Jones Total Stock Market Index (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,USD,,,
moodys,USA BBB Spread (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Percentage,,,,
moodys,Oil Price WTI (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,USD,,,
moodys,Bulgaria GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,BGN,1000000000,,
moodys,Brazil GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,BRL,1000000000,,
moodys,Botswana GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Chile GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,CLP,1000000000,,
moodys,Democratic Republic of Congo GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Colombia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,COP,1000000000,,
moodys,Cyprus GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,Czech Republic GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,CZK,1000000000,,
moodys,Germany GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,Algeria GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Egypt GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Spain GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,France GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,United Kingdom GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,GBP,1000000000,,
moodys,Guinea GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Gambia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Greece GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,Croatia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,HRK,1000000000,,
moodys,Hungary GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,HUF,1000000000,,
moodys,Indonesia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,IDR,1000000000,,
moodys,India GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,INR,1000000000,,
moodys,Iraq GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Israel GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,ILS,1000000000,,
moodys,Jordan GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
